player,pos,contract_aav,season,pct_change,upper_limit,lower_limit,min_salary,team,games_played,goals_against,expected_goals_against,goals_saved_above_expected,goals_saved_above_expected_per_60,save_pct_on_unblocked_shots,xsave_pct_on_unblocked_shots,save_pct_above_expected,save_pct_on_shots_on_goal,gaa,xgaa,gaa_better_than_expected,wins_above_replacement,icetime,rebounds_per_save,xrebounds_per_save,rebounds_above_expected,puck_freezes,expected_puck_freeze,puck_freezes_above_expected,puck_freezes_above_expected_per_shot_on_goal,saves_on_shots_on_goal,saves_on_unblocked_shot_attempts,pct_of_shot_attempts_blocked_by_teammates,pct_of_unblocked_shot_attempts_against_on_goal,expected_pct_of_unblocked_shot_attempts_against_on_goal,on_goal_pct_above_expected,low_danger_unblocked_shot_attempt_save_pct,xlow_danger_unblocked_shot_attempt_save_pct,low_danger_unblocked_shot_attempt_savepct_above_expected,medium_danger_unblocked_shot_attempt_save_pct,xmedium_danger_unblocked_shot_attempt_save_pct,medium_danger_unblocked_shot_attemptsave_pct_above_expected,high_danger_unblocked_shot_attempt_save_pct,xhigh_danger_unblocked_shot_attempt_save_pct,high_danger_unblocked_shot_attempt_save_pct_above_expected,final_standing
Tuukka Rask,G,7000000,2012-13,0.0717,64300000,47500000,525000,BOS,36.0,70.0,89.17,19.2,0.548,0.962,0.951,0.01,0.929,2.0,2.54,0.55,3.2,2102.0,0.031,0.038,-0.007,260.0,223.8,36.2,0.04,910.0,1760.0,0.205,0.5355,0.5372,-0.0017000000000000001,0.975,0.971,0.004,0.931,0.878,0.053,0.693,0.677,0.016,5.0
Ray Emery,G,1650000,2012-13,0.0717,64300000,47500000,525000,CHI,21.0,36.0,42.22,6.2,0.333,0.96,0.953,0.007,0.922,1.94,2.27,0.33,1.04,1116.0,0.044,0.037,0.007,92.0,101.81,-9.81,-0.02,424.0,857.0,0.2341,0.5151,0.5081,0.006999999999999999,0.974,0.971,0.002,0.896,0.877,0.019,0.745,0.68,0.064,1.0
Jonathan Bernier,G,2900000,2012-13,0.0717,64300000,47500000,525000,LAK,14.0,24.0,24.96,1.0,0.078,0.96,0.958,0.002,0.922,1.87,1.95,0.07,0.16,768.0,0.044,0.04,0.003,79.0,77.12,1.88,0.01,282.0,573.0,0.19,0.5126,0.5467,-0.0342,0.98,0.971,0.01,0.827,0.882,-0.055,0.833,0.728,0.105,7.0
Jason LaBarbera,G,1000000,2012-13,0.0717,64300000,47500000,525000,ARI,15.0,32.0,38.5,6.5,0.537,0.957,0.948,0.009,0.923,2.64,3.18,0.54,1.08,725.0,0.06,0.044,0.016,107.0,95.81,11.19,0.03,386.0,711.0,0.1826,0.5626,0.5615,0.0011,0.974,0.97,0.004,0.924,0.875,0.049,0.621,0.67,-0.049,19.0
Chad Johnson,G,600000,2012-13,0.0717,64300000,47500000,525000,ARI,4.0,5.0,9.2,4.2,1.022,0.977,0.957,0.02,0.954,1.22,2.24,1.02,0.7,246.0,0.033,0.037,-0.004,25.0,25.98,-0.98,-0.01,103.0,209.0,0.20149999999999998,0.5047,0.5343,-0.0297,0.992,0.972,0.02,0.957,0.888,0.068,0.5,0.5,0.0,19.0
Thomas Greiss,G,750000,2012-13,0.0717,64300000,47500000,525000,SJS,6.0,13.0,12.8,-0.2,-0.039,0.954,0.955,-0.001,0.915,2.53,2.49,-0.04,-0.03,308.0,0.029,0.039,-0.009,30.0,34.6,-4.6,-0.03,140.0,272.0,0.19940000000000002,0.5367999999999999,0.5279,0.0089,0.949,0.971,-0.023,0.936,0.878,0.058,0.818,0.765,0.053,11.0
Anton Khudobin,G,800000,2012-13,0.0717,64300000,47500000,525000,BOS,14.0,31.0,31.99,1.0,0.075,0.956,0.955,0.001,0.92,2.32,2.39,0.07,0.16,803.0,0.019,0.038,-0.019,89.0,87.38,1.62,0.0,358.0,677.0,0.2,0.5494,0.5442,0.0052,0.978,0.973,0.005,0.895,0.882,0.013,0.56,0.65,-0.09,5.0
Dan Ellis,G,900000,2012-13,0.0717,64300000,47500000,525000,CAR,19.0,52.0,54.49,2.5,0.154,0.947,0.945,0.003,0.906,3.19,3.35,0.15,0.42,977.0,0.043,0.041,0.002,111.0,127.53,-16.53,-0.03,504.0,933.0,0.1839,0.5645,0.565,-0.0005,0.972,0.97,0.002,0.903,0.879,0.024,0.641,0.67,-0.029,26.0
Al Montoya,G,601000,2012-13,0.0717,64300000,47500000,525000,WPG,7.0,17.0,14.74,-2.3,-0.393,0.95,0.957,-0.007,0.899,2.9,2.52,-0.39,-0.38,351.0,0.022,0.038,-0.017,33.0,41.03,-8.03,-0.05,151.0,322.0,0.2024,0.49560000000000004,0.5333,-0.0377,0.973,0.974,-0.001,0.869,0.882,-0.014,0.5,0.66,-0.16,18.0
Sergei Bobrovsky,G,5625000,2012-13,0.0717,64300000,47500000,525000,CBJ,38.0,74.0,80.86,6.9,0.187,0.962,0.958,0.004,0.932,2.0,2.19,0.19,1.14,2218.0,0.04,0.038,0.001,167.0,239.94,-72.94,-0.07,1010.0,1866.0,0.19699999999999998,0.5588000000000001,0.5397,0.0191,0.977,0.973,0.004,0.884,0.878,0.007,0.712,0.706,0.006,17.0
