player,pos,contract_aav,season,pct_change,upper_limit,lower_limit,min_salary,team,games_played,icetime,expected_goals,goals,assists,points,primary_assists,secondary_assists,shifts,share_of_possible_icetime,pct_of_shift_starts_in_offensive_zone,pct_of_shift_starts_in_neutral_zone,pct_of_shift_starts_in_defensive_zone,pct_of_shift_starts_on_fly,hits,pim,pim_drawn,pim_differential,shots_blocked_by_player,shots_blocked_by_player_per_60,takeaways,giveaways,defensive_zone_giveaways,faceoff_win_pct,goals_above_expected,expected_goals_per_60_minutes,goals_per_60_minutes,assists_per_60_minutes,points_per_60_minutes,shots_on_goal_per_60_minutes,shot_attempts_per_60_minutes,shooting_pct,shooting_pct_on_unblocked_shots,expected_shooting_pct_on_unblocked_shots,shooting_pct_on_unblocked_shots_above_expected,shot_attempts,shots_on_goal,shots_that_missed_net,shots_that_were_blocked,pct_of_unblocked_shots_that_missed_net,expected_pct_of_unblocked_shots_that_missed_net,net_miss_pct_above_expected,high_danger_unblocked_shot_attempts,medium_danger_unblocked_shot_attempts,low_danger_unblocked_shot_attempts,high_danger_xgoals,medium_danger_xgoals,low_danger_xgoals,on-ice_shot_attempt_pct_(corsi),on-ice_unblocked_shot_attempt_pct_(fenwick),on-ice_goals_pct,on-ice_expected_goals_pct,off-ice_expected_goals_pct,relative_expected_goals_pct,on-ice_score_adjusted_expected_goals_pct,on-ice_score/flurry_adjusted_expected_goals_pct,on-ice_expected_goals_against_per_60_minutes,on-ice_shot_attempts_against_per_60_minutes,on-ice_high_danger_shot_attempts_against_per_60_minutes,flurry_adjusted_xgoals,on-ice_goal_differential,on-ice_expected_goals_differential,rebounds_created,xrebounds_created,rebounds_created_above_expected,xgoals_on_rebounds_shots,share_of_xgoals_from_rebounds_shots,xgoals_from_non_rebounds,xgoals_of_expected_rebounds,created_xgoals,created_xgoals_minus_actual_xgoals,shooting_talent_above_average,shooting_talent_adjusted_expected_goals,goals_above_shooting_talent,final_standing
Nikita Zadorov,D,2150000,2016-17,0.0274,75000000,55400000,650000,COL,55.0,1042.0,3.0,0.0,10.0,10.0,7.0,3.0,1400.0,0.314,0.086,0.158,0.136,0.621,148.0,73.0,37.0,36.0,68.0,3.91,11.0,22.0,21.0,0.0,-2.9,0.17,0.0,0.58,0.58,3.39,8.8,0.0,0.0,0.02,-0.02,153.0,59.0,41.0,53.0,0.41,0.34,0.07,1.0,6.0,93.0,0.52,0.62,1.82,0.44,0.44,0.309,0.41600000000000004,0.446,-0.03,0.41,0.41700000000000004,2.69,59.38,2.65,2.9,-31.0,-13.5,4.0,4.0,0.0,0.2,0.054000000000000006,2.8,0.8,3.6,0.6,-0.08199999999999999,2.7,-2.7,21.0
Damon Severson,D,4166666,2016-17,0.0274,75000000,55400000,650000,NJD,80.0,1628.0,6.4,3.0,28.0,31.0,13.0,15.0,2091.0,0.33399999999999996,0.152,0.16,0.10099999999999999,0.5870000000000001,79.0,58.0,36.0,22.0,73.0,2.69,24.0,54.0,31.0,0.0,-3.4,0.24,0.11,1.03,1.14,4.61,10.24,0.024,0.016,0.033,-0.017,278.0,125.0,58.0,95.0,0.317,0.32799999999999996,-0.011000000000000001,4.0,8.0,171.0,1.44,0.93,4.02,0.54,0.53,0.45899999999999996,0.52,0.42700000000000005,0.09300000000000001,0.516,0.517,2.66,48.24,2.28,6.2,-11.0,5.9,9.0,8.3,0.7,1.2,0.183,5.2,1.8,7.0,0.6,-0.165,5.3,-2.3,20.0
Derek Forbort,D,2525000,2016-17,0.0274,75000000,55400000,650000,LAK,82.0,1649.0,2.8,2.0,16.0,18.0,6.0,10.0,2221.0,0.331,0.107,0.187,0.161,0.545,180.0,44.0,38.0,6.0,159.0,5.78,9.0,73.0,63.0,1.0,-0.8,0.1,0.07,0.58,0.65,3.64,7.71,0.02,0.013999999999999999,0.013999999999999999,0.0,212.0,100.0,42.0,70.0,0.29600000000000004,0.33799999999999997,-0.042,0.0,3.0,139.0,0.0,0.3,2.54,0.47,0.47,0.474,0.44799999999999995,0.5589999999999999,-0.111,0.445,0.44799999999999995,2.81,55.47,2.26,2.8,-6.0,-14.6,5.0,5.2,-0.2,0.2,0.085,2.6,1.0,3.6,0.8,-0.042,2.7,-0.7,8.0
Mark Borowiecki,D,1200000,2016-17,0.0274,75000000,55400000,650000,OTT,70.0,980.0,1.9,1.0,2.0,3.0,2.0,0.0,1559.0,0.231,0.095,0.14,0.106,0.659,364.0,134.0,103.0,31.0,90.0,5.51,6.0,18.0,12.0,1.0,-0.9,0.12,0.06,0.12,0.18,3.06,7.04,0.02,0.013999999999999999,0.013999999999999999,0.0,115.0,50.0,24.0,41.0,0.324,0.297,0.027000000000000003,0.0,2.0,72.0,0.0,0.22,1.66,0.47,0.47,0.387,0.48200000000000004,0.516,-0.034,0.48200000000000004,0.48200000000000004,2.23,58.79,2.14,1.8,-14.0,-2.5,3.0,2.8,0.2,0.3,0.154,1.6,0.6,2.2,0.3,-0.032,1.8,-0.8,19.0
Josh Manson,D,4100000,2016-17,0.0274,75000000,55400000,650000,ANA,82.0,1527.0,4.8,5.0,12.0,17.0,4.0,8.0,1911.0,0.307,0.091,0.165,0.175,0.569,227.0,82.0,58.0,24.0,79.0,3.1,23.0,57.0,44.0,0.0,0.2,0.19,0.2,0.47,0.67,3.46,7.11,0.057,0.039,0.031,0.008,181.0,88.0,41.0,52.0,0.318,0.302,0.016,2.0,13.0,114.0,0.52,1.68,2.57,0.47,0.47,0.49200000000000005,0.49700000000000005,0.529,-0.032,0.499,0.498,2.51,56.45,1.89,4.6,-2.0,-0.7,12.0,5.2,6.9,0.8,0.163,4.0,1.1,5.1,0.3,-0.159,4.0,1.0,7.0
Cody Franson,D,1000000,2016-17,0.0274,75000000,55400000,650000,BUF,68.0,1256.0,3.1,3.0,16.0,19.0,6.0,10.0,1648.0,0.303,0.11199999999999999,0.154,0.115,0.619,87.0,34.0,10.0,24.0,68.0,3.25,14.0,30.0,21.0,0.0,-0.1,0.15,0.14,0.76,0.91,4.44,9.55,0.032,0.023,0.023,0.0,200.0,93.0,40.0,67.0,0.301,0.316,-0.015,1.0,3.0,129.0,0.31,0.29,2.48,0.51,0.51,0.489,0.509,0.462,0.047,0.507,0.507,2.46,51.51,2.2,3.0,-2.0,1.9,9.0,5.1,3.9,0.4,0.114,2.7,1.0,3.7,0.6,0.11,3.4,-0.4,23.0
Alex Biega,D,825000,2016-17,0.0274,75000000,55400000,650000,VAN,36.0,474.0,1.2,0.0,3.0,3.0,1.0,2.0,701.0,0.217,0.087,0.13,0.09300000000000001,0.69,97.0,18.0,4.0,14.0,24.0,3.04,5.0,7.0,5.0,0.0,-1.2,0.16,0.0,0.38,0.38,4.68,10.0,0.0,0.0,0.017,-0.017,79.0,37.0,22.0,20.0,0.373,0.33899999999999997,0.034,0.0,2.0,57.0,0.0,0.18,1.05,0.47,0.45,0.34299999999999997,0.36,0.433,-0.073,0.363,0.36200000000000004,3.4,57.33,3.8,1.2,-11.0,-11.7,1.0,2.3,-1.3,0.0,0.033,1.2,0.5,1.7,0.5,-0.16,1.0,-1.0,28.0
Erik Gudbranson,D,4000000,2016-17,0.0274,75000000,55400000,650000,VAN,30.0,609.0,1.5,1.0,5.0,6.0,5.0,0.0,765.0,0.33299999999999996,0.106,0.17600000000000002,0.157,0.561,66.0,18.0,24.0,-6.0,44.0,4.33,4.0,23.0,20.0,0.0,-0.5,0.15,0.1,0.49,0.59,3.94,8.66,0.025,0.018000000000000002,0.018000000000000002,0.0,88.0,40.0,15.0,33.0,0.273,0.345,-0.073,1.0,1.0,53.0,0.36,0.08,1.07,0.43,0.42,0.29600000000000004,0.379,0.493,-0.114,0.375,0.376,3.4,60.52,3.25,1.5,-22.0,-13.5,4.0,2.2,1.8,0.0,0.0,1.5,0.5,2.0,0.5,-0.13,1.3,-0.3,28.0
Ben Harpur,D,725000,2016-17,0.0274,75000000,55400000,650000,OTT,6.0,106.0,0.1,0.0,0.0,0.0,0.0,0.0,151.0,0.285,0.09300000000000001,0.126,0.139,0.642,5.0,0.0,2.0,-2.0,3.0,1.69,2.0,5.0,3.0,0.0,-0.1,0.03,0.0,0.0,0.0,1.69,6.18,0.0,0.0,0.0,0.0,11.0,3.0,1.0,7.0,0.25,0.5,-0.25,0.0,0.0,4.0,0.0,0.0,0.06,0.51,0.48,0.4,0.452,0.5529999999999999,-0.10099999999999999,0.455,0.44299999999999995,2.44,47.75,1.69,0.1,-2.0,-0.8,0.0,0.1,-0.1,0.0,0.5,0.0,0.0,0.1,0.0,-0.09300000000000001,0.1,-0.1,19.0
Markus Nutivaara,D,2700000,2016-17,0.0274,75000000,55400000,650000,CBJ,66.0,872.0,2.7,2.0,5.0,7.0,1.0,4.0,1187.0,0.218,0.153,0.155,0.078,0.614,36.0,6.0,4.0,2.0,38.0,2.61,9.0,20.0,14.0,0.0,-0.7,0.19,0.14,0.34,0.48,4.54,9.22,0.03,0.022000000000000002,0.022000000000000002,0.0,134.0,66.0,24.0,44.0,0.267,0.322,-0.055999999999999994,0.0,7.0,83.0,0.0,0.79,1.91,0.49,0.48,0.552,0.484,0.521,-0.037000000000000005,0.48700000000000004,0.484,2.54,55.11,2.13,2.7,6.0,-2.4,4.0,3.6,0.4,0.2,0.08900000000000001,2.5,0.7,3.2,0.5,0.0,2.7,-0.7,27.0
